seq	train_app
DT1-20R-W_MF284716.1_cds_env	Training
DT1-21R-W_MF284717.1_cds_env	Training
DT1-22L-G_MF284718.1_cds_env	Training
DT1-23L-G_MF284719.1_cds_env	Training
DT1-27-1_MF284720.1_cds_env	Training
DT1-27-2_MF284721.1_cds_env	Training
DT2-19L-W_MF284723.1_cds_env	Training
DT2-21R-W_MF284724.1_cds_env	Training
DT2-27-1_MF284725.1_cds_env	Training
DT2-27-2_MF284726.1_cds_env	Training
TP2-20R-G6_MF284756.1_cds_env	Training
TP2-21L-G3_MF284760.1_cds_env	Training
TP2-21R-G1_MF284764.1_cds_env	Training
TP2-21R-G2_MF284765.1_cds_env	Training
TP2-22L-G2_MF284770.1_cds_env	Training
TP2-21L-G4_MF284761.1_cds_env	Training
TP2-20L-G1_MF284752.1_cds_env	Training
TP2-20L-G6_MF284753.1_cds_env	Training
TP2-20R-G1_MF284754.1_cds_env	Training
TP2-20R-G2_MF284755.1_cds_env	Training
TP2-20R-W_MF284757.1_cds_env	Training
TP2-21L-G1_MF284758.1_cds_env	Training
TP2-21L-G2_MF284759.1_cds_env	Training
TP2-21L-G5_MF284762.1_cds_env	Training
TP2-21R-G_MF284763.1_cds_env	Training
TP2-21R-G5_MF284766.1_cds_env	Training
TP2-21R-G6_MF284767.1_cds_env	Training
TP2-21R-W_MF284768.1_cds_env	Training
TP2-22L-G_MF284769.1_cds_env	Training
TP2-22L-G4_MF284771.1_cds_env	Training
TP2-22R-G1_MF284773.1_cds_env	Training
TP2-23L-G_MF284775.1_cds_env	Training
TP2-24-1_MF284777.1_cds_env	Training
TP2-24-2_MF284778.1_cds_env	Training
TP2-25-1_MF284779.1_cds_env	Training
TP2-25-2_MF284780.1_cds_env	Training
TP2-25-3_MF284781.1_cds_env	Training
TP2-28-1_MF284783.1_cds_env	Training
TP2-28-4_MF284786.1_cds_env	Training
TP2-28-5_MF284787.1_cds_env	Training
TP2-29-1_MF284788.1_cds_env	Training
TP2-29-2_MF284789.1_cds_env	Training
TP2-31-1_MF284790.1_cds_env	Training
TP2-33-1_MF284791.1_cds_env	Training
TP2-34-1_MF284792.1_cds_env	Training
TP1-19L-W1_MF284728.1_cds_env	Training
TP1-19R-G_MF284729.1_cds_env	Training
TP1-19R-W_MF284730.1_cds_env	Training
TP1-20R-G_MF284731.1_cds_env	Training
TP1-21R-W_MF284736.1_cds_env	Training
TP1-22L-W_MF284738.1_cds_env	Training
TP1-23L-W_MF284741.1_cds_env	Training
H880_MF370655.1_cds_ASM79933.1_1_env	Training
H880_MF370656.1_cds_ASM79934.1_1_env	Training
H880_MF370657.1_cds_ASM79935.1_1_env	Training
H880_MF370658.1_cds_ASM79936.1_1_env	Training
H880_MF370659.1_cds_ASM79937.1_1_env	Training
H880_MF370660.1_cds_ASM79938.1_1_env	Training
H880_MF370661.1_cds_ASM79939.1_1_env	Training
H880_MF370662.1_cds_ASM79940.1_1_env	Training
H880_MF370663.1_cds_ASM79941.1_1_env	Training
H880_MF370664.1_cds_ASM79942.1_1_env	Training
H880_MF370665.1_cds_ASM79943.1_1_env	Training
H880_MF370666.1_cds_ASM79944.1_1_env	Training
H880_MF370667.1_cds_ASM79945.1_1_env	Training
H880_MF370668.1_cds_ASM79946.1_1_env	Training
H880_MF370670.1_cds_ASM79948.1_1_env	Training
H880_MF370671.1_cds_ASM79949.1_1_env	Training
H880_MF370672.1_cds_ASM79950.1_1_env	Training
H880_MF370673.1_cds_ASM79951.1_1_env	Training
H880_MF370674.1_cds_ASM79952.1_1_env	Training
H880_MF370675.1_cds_ASM79953.1_1_env	Training
H880_MF370676.1_cds_ASM79954.1_1_env	Training
H880_MF370677.1_cds_ASM79955.1_1_env	Training
H880_MF370679.1_cds_ASM79957.1_1_env	Training
H880_MF370680.1_cds_ASM79958.1_1_env	Training
H880_MF370681.1_cds_ASM79959.1_1_env	Training
H880_MF370682.1_cds_ASM79960.1_1_env	Training
H880_MF370683.1_cds_ASM79961.1_1_env	Training
H880_MF370684.1_cds_ASM79962.1_1_env	Training
H880_MF370686.1_cds_ASM79964.1_1_env	Training
H880_MF370688.1_cds_ASM79966.1_1_env	Training
H880_MF370689.1_cds_ASM79967.1_1_env	Training
H880_MF370690.1_cds_ASM79968.1_1_env	Training
H880_MF370691.1_cds_ASM79969.1_1_env	Training
H880_MF370692.1_cds_ASM79970.1_1_env	Training
H880_MF370693.1_cds_ASM79971.1_1_env	Training
H880_MF370695.1_cds_ASM79973.1_1_env_truncated	Training
H882_MF370697.1_cds_ASM79975.1_1_env_truncated	Training
H882_MF370698.1_cds_ASM79976.1_1_env	Training
H882_MF370699.1_cds_ASM79977.1_1_env	Training
H882_MF370700.1_cds_ASM79978.1_1_env	Training
H882_MF370701.1_cds_ASM79979.1_1_env	Training
H882_MF370704.1_cds_ASM79982.1_1_env	Training
H882_MF370705.1_cds_ASM79983.1_1_env	Training
H882_MF370706.1_cds_ASM79984.1_1_env	Training
H882_MF370708.1_cds_ASM79986.1_1_env	Training
H882_MF370709.1_cds_ASM79987.1_1_env	Training
H882_MF370710.1_cds_ASM79988.1_1_env	Training
H882_MF370711.1_cds_ASM79989.1_1_env	Training
H882_MF370712.1_cds_ASM79990.1_1_env_truncated	Training
